ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	PP_INST_DT	Type	BreakYear	BreakDate	ValidBreak	FailureNotes	Failure_ID	BreakAge
5788	6	Cast Iron	1920	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5789	4	Cast Iron	1930	Cast Iron	NULL	4	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5790	10	Cast Iron	1912	Cast Iron	NULL	10	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5791	10	Cast Iron	1912	Cast Iron	NULL	10	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5792	10	Cast Iron	1912	Cast Iron	NULL	10	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5793	8	Cast Iron	1904	Cast Iron	NULL	8	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5794	8	Cast Iron	1920	Cast Iron	NULL	8	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5795	8	Cast Iron	1920	Cast Iron	NULL	8	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5796	12	Ductile Iron	1988	Ductile Iron	1988	12	1	1988-05-01 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5797	6	Cast Iron	1935	Cast Iron	1935	6	1	1935-03-10 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5798	6	Cast Iron	1941	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5799	6	Cast Iron	1941	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5800	6	Cast Iron	1938	Cast Iron	1938	6	1	1938-01-06 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5801	8	Cast Iron	1912	Cast Iron	NULL	8	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5802	6	Cast Iron	1912	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5803	6	Cast Iron	1948	Cast Iron	1948	6	1	1948-01-17 00:00:00.000	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5804	8	Cast Iron	1920	Cast Iron	NULL	8	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
5805	6	Cast Iron	1920	Cast Iron	NULL	6	1	NULL	Distribution	NULL	NULL	NULL	NULL	NULL	NULL
