ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	INSTALLDAT	BreakYear	BreakDate	Failure_ID	BreakAge
75	12	PVC	2003	PVC	2003	12	1	2003-06-14 00:00:00.0000000	NULL	NULL	NULL	NULL
76	12	PVC	1992	PVC	1992	12	1	1992-06-20 00:00:00.0000000	NULL	NULL	NULL	NULL
77	12	PVC	1992	PVC	1992	12	1	1992-06-20 00:00:00.0000000	NULL	NULL	NULL	NULL
78	12	PVC	1994	PVC	1994	12	1	1994-06-14 00:00:00.0000000	NULL	NULL	NULL	NULL
79	12	PVC	1989	PVC	1989	12	1	1989-06-14 00:00:00.0000000	NULL	NULL	NULL	NULL
80	6	PVC	1985	PVC	1985	6	1	1985-08-20 00:00:00.0000000	NULL	NULL	NULL	NULL
81	12	PVC	1992	PVC	1992	12	1	1992-06-20 00:00:00.0000000	NULL	NULL	NULL	NULL
82	6	CI	1959	CI	1959	6	1	1959-06-19 00:00:00.0000000	NULL	NULL	NULL	NULL
83	6	CI	1959	CI	1959	6	1	1959-06-19 00:00:00.0000000	NULL	NULL	NULL	NULL
84	6	PVC	1981	PVC	1981	6	1	1981-03-30 00:00:00.0000000	NULL	NULL	NULL	NULL
85	12	PVC	1986	PVC	1986	12	1	1986-06-14 00:00:00.0000000	NULL	NULL	NULL	NULL
86	12	PVC	1986	PVC	1986	12	1	1986-06-14 00:00:00.0000000	NULL	NULL	NULL	NULL
87	2	GS	1989	GS	1989	2	1	1989-06-28 00:00:00.0000000	2023	2023-06-02 09:23:47.000	2095	34
88	6	PVC	1988	PVC	1988	6	1	1988-03-02 00:00:00.0000000	NULL	NULL	NULL	NULL
89	6	PVC	1997	PVC	1997	6	1	1997-09-12 00:00:00.0000000	NULL	NULL	NULL	NULL
90	6	CI	1950	DI	1950	6	1	1950-07-04 00:00:00.0000000	NULL	NULL	NULL	NULL
91	18	PVC	1991	PVC	1991	18	1	1991-07-01 00:00:00.0000000	NULL	NULL	NULL	NULL
92	2	CI	1950	CI	1950	2	1	1950-07-04 00:00:00.0000000	NULL	NULL	NULL	NULL
93	8	PVC	1982	PVC	1982	8	1	1982-01-20 00:00:00.0000000	NULL	NULL	NULL	NULL
94	2	GS	1973	GS	1973	2	1	1973-06-25 00:00:00.0000000	NULL	NULL	NULL	NULL
95	2	GS	1973	GS	1973	2	1	1973-06-25 00:00:00.0000000	NULL	NULL	NULL	NULL
96	6	CI	1959	CI	1959	6	1	1959-06-19 00:00:00.0000000	NULL	NULL	NULL	NULL
97	12	PVC	1982	PVC	1982	12	1	1982-10-22 00:00:00.0000000	NULL	NULL	NULL	NULL
98	12	PVC	1982	PVC	1982	12	1	1982-10-22 00:00:00.0000000	NULL	NULL	NULL	NULL
99	12	PVC	1982	PVC	1982	12	1	1982-10-22 00:00:00.0000000	NULL	NULL	NULL	NULL
100	8	PVC	1982	PVC	1982	8	1	1982-06-24 00:00:00.0000000	NULL	NULL	NULL	NULL
101	12	CI	1969	CI	1969	12	1	1969-11-06 00:00:00.0000000	NULL	NULL	NULL	NULL
102	8	PVC	1983	PVC	1983	8	1	1983-03-01 00:00:00.0000000	NULL	NULL	NULL	NULL
103	12	CI	1966	CI	1966	12	1	1966-10-01 00:00:00.0000000	NULL	NULL	NULL	NULL
104	12	CI	1966	CI	1966	12	1	1966-10-01 00:00:00.0000000	NULL	NULL	NULL	NULL
105	2	CI	1955	CI	1955	2	1	1955-07-01 00:00:00.0000000	2016	2016-06-01 07:11:19.000	2291	61
106	2	CI	1955	CI	1955	2	1	1955-07-01 00:00:00.0000000	NULL	NULL	NULL	NULL
107	8	CI	1966	CI	1966	8	1	1966-06-14 00:00:00.0000000	NULL	NULL	NULL	NULL
108	6	PVC	1988	PVC	1988	6	1	1988-06-17 00:00:00.0000000	NULL	NULL	NULL	NULL
109	8	PVC	1994	PVC	1994	8	1	1994-03-01 00:00:00.0000000	NULL	NULL	NULL	NULL
110	8	PVC	1994	PVC	1994	8	1	1994-05-03 00:00:00.0000000	NULL	NULL	NULL	NULL
111	8	PVC	1994	PVC	1994	8	1	1994-05-03 00:00:00.0000000	NULL	NULL	NULL	NULL
112	4	PVC	1981	PVC	1981	4	0	1981-06-25 00:00:00.0000000	2017	2017-12-13 07:48:35.000	2502	36
113	8	PVC	2000	PVC	2000	8	1	2000-06-12 00:00:00.0000000	NULL	NULL	NULL	NULL
114	12	PVC	1981	PVC	1981	12	1	1981-06-18 00:00:00.0000000	NULL	NULL	NULL	NULL
115	12	PVC	1998	PVC	1998	12	1	1998-06-12 00:00:00.0000000	NULL	NULL	NULL	NULL
116	12	PVC	1998	PVC	1998	12	1	1998-06-12 00:00:00.0000000	NULL	NULL	NULL	NULL
117	8	PVC	1999	PVC	1999	8	1	1999-07-07 00:00:00.0000000	NULL	NULL	NULL	NULL
118	8	PVC	1999	PVC	1999	8	1	1999-12-22 00:00:00.0000000	NULL	NULL	NULL	NULL
