Failure_ID	ID	BreakDate	BreakYear	SourceTxt_ID	Material	InstallYear	Age	RR_Diameter	Length(ft)	OrgDiameter	OrgMaterial	OrgInstallYear	Status	BreakAge
2182	7460	00:00.0	2005	48-MOUN-S-A16	Galvanized	1908	117	2	51.41	2	Galvanized	1908	1	97
2698	7463	00:00.0	2017	48-MOUN-C-A16	Cast Iron	1908	117	6	197.23	6	Ductile Iron	1908	1	109
2074	7466	00:00.0	2003	47-STCL-S-A26	Cast Iron	1909	116	6	338.93	6	Cast Iron	1909	1	94
2674	7498	00:00.0	2017	49-5THS-S-D26	Cast Iron	1929	96	6	1458.77	6	Cast Iron	1929	1	88
2385	7518	00:00.0	2010	49-LAVE-R-A16	Cast Iron	1972	53	6	357.51	6	Cast Iron	1972	1	38
2660	7552	00:00.0	2016	28-CHURW-S-A16	Cast Iron	1960	65	16	714.54	16	Cast Iron	1960	1	56
2681	7552	00:00.0	2017	28-CHURW-S-A16	Cast Iron	1960	65	16	714.54	16	Cast Iron	1960	1	57
2767	7552	00:00.0	2019	28-CHURW-S-A16	Cast Iron	1960	65	16	714.54	16	Cast Iron	1960	1	59
2807	7552	00:00.0	2019	28-CHURW-S-A16	Cast Iron	1960	65	16	714.54	16	Cast Iron	1960	1	59
2440	7553	00:00.0	2011	28-CHURW-S-B110	Cast Iron	1930	95	10	779.2	10	Cast Iron	1930	1	81
2213	7566	00:00.0	2006	48-CENTS-A-A14	Copper	2015	10	2	180.89	2	Copper	2015	1	-9
2409	7583	00:00.0	2010	37-MAXO-A-X24	Cast Iron	1972	53	2	85.14	2	Cast Iron	1972	1	38
1992	7635	00:00.0	2001	510-MORG-A-A16	Ductile Iron	2018	7	6	1132.61	6	Ductile Iron	2018	1	-17
1993	7635	00:00.0	2001	510-MORG-A-A16	Ductile Iron	2018	7	6	1132.61	6	Ductile Iron	2018	1	-17
2348	7635	00:00.0	2009	510-MORG-A-A16	Ductile Iron	2018	7	6	1132.61	6	Ductile Iron	2018	1	-9
2578	7641	00:00.0	2014	28-COUNC-D-B26D	Ductile Iron	1972	53	6	1933.67	6	Ductile Iron	1972	1	42
2851	7641	00:00.0	2020	28-COUNC-D-B26D	Ductile Iron	1972	53	6	1933.67	6	Ductile Iron	1972	1	48
2853	7641	00:00.0	2020	28-COUNC-D-B26D	Ductile Iron	1972	53	6	1933.67	6	Ductile Iron	1972	1	48
2905	7641	00:00.0	2022	28-COUNC-D-B26D	Ductile Iron	1972	53	6	1933.67	6	Ductile Iron	1972	1	50
2746	7649	00:00.0	2018	2007_FMSM_NEW_136	Ductile Iron	1972	53	6	610.16	6	unknown	1972	1	46
2562	7661	00:00.0	2014	2007_FMSM_NEW_166	Ductile Iron	2011	14	4	808.28	4	unknown	2011	1	3
2727	7661	NULL	NULL	2007_FMSM_NEW_166	Ductile Iron	2011	14	4	808.28	4	unknown	2011	1	NULL
2551	7680	00:00.0	2014	46-CHER-S-Y16	Asbestos Cement	1973	52	6	468.54	6	Asbestos Cement	1973	1	41
2836	7741	00:00.0	2020	37-RIVE-R-A14	Cast Iron	1929	96	3	624.75	3	Cast Iron	1929	1	91
2285	7751	00:00.0	2008	68-HOME-A-A14	Cast Iron	1946	79	6	1067.4	6	Cast Iron	1946	1	62
1939	7806	00:00.0	2000	59-THOM-S-A36	Cast Iron	1935	90	6	544.8	6	Cast Iron	1935	1	65
2287	7806	00:00.0	2008	59-THOM-S-A36	Cast Iron	1935	90	6	544.8	6	Cast Iron	1935	1	73
2604	7806	00:00.0	2015	59-THOM-S-A36	Cast Iron	1935	90	6	544.8	6	Cast Iron	1935	1	80
2753	7806	00:00.0	2018	59-THOM-S-A36	Cast Iron	1935	90	6	544.8	6	Cast Iron	1935	1	83
2506	7837	00:00.0	2013	59-2NDS-S-B36	Cast Iron	1929	96	6	1914.89	6	Cast Iron	1929	1	84
2721	7837	00:00.0	2018	59-2NDS-S-B36	Cast Iron	1929	96	6	1914.89	6	Cast Iron	1929	1	89
2892	7837	00:00.0	2021	59-2NDS-S-B36	Cast Iron	1929	96	6	1914.89	6	Cast Iron	1929	1	92
2190	7842	00:00.0	2005	36-PIER-D-A16	Cast Iron	1972	53	6	567.28	6	Cast Iron	1972	1	33
2390	7842	00:00.0	2010	36-PIER-D-A16	Cast Iron	1972	53	6	567.28	6	Cast Iron	1972	1	38
2437	7842	00:00.0	2011	36-PIER-D-A16	Cast Iron	1972	53	6	567.28	6	Cast Iron	1972	1	39
2734	7842	00:00.0	2018	36-PIER-D-A16	Cast Iron	1972	53	6	567.28	6	Cast Iron	1972	1	46
2404	7844	00:00.0	2010	36-ROOS-C-A16	Cast Iron	1965	60	6	234.4	6	Cast Iron	1965	1	45
2146	7876	00:00.0	2004	37-KARE-P-A14	Cast Iron	1932	93	2	446.94	2	Cast Iron	1932	1	72
2549	7876	00:00.0	2014	37-KARE-P-A14	Cast Iron	1932	93	2	446.94	2	Cast Iron	1932	1	82
2898	7877	00:00.0	2022	37-KARE-P-X14	Cast Iron	1972	53	6	290.77	6	Cast Iron	1972	1	50
2786	7878	00:00.0	2019	57-ARLI-A-A56	Ductile Iron	1965	60	6	20.54	6	Ductile Iron	NULL	1	54
2825	7881	00:00.0	2020	57-OAKW-A-D46	Cast Iron	1931	94	6	310.07	6	Cast Iron	1931	1	89
2891	7881	00:00.0	2021	57-oakw-a-d46	Cast Iron	1931	94	6	310.07	6	Cast Iron	1931	1	90
2586	7888	00:00.0	2015	38-CHURW-S-L16	Cast Iron	1929	96	6	584.2	6	Cast Iron	1929	1	86
2605	7888	00:00.0	2015	38-CHURW-S-L16	Cast Iron	1929	96	6	584.2	6	Cast Iron	1929	1	86
2269	7894	00:00.0	2007	57-RIVE-D-A16	Cast Iron	1958	67	6	813.75	6	Cast Iron	1958	0	49
2634	7908	00:00.0	2016	2007_FMSM_NEW_265	Cast Iron	1916	109	6	512.58	6	unknown	NULL	0	100
2742	7938	00:00.0	2018	38-22NDN-S-c16	Cast Iron	1932	93	2	139.55	2	Cast Iron	1932	1	86
2340	7965	00:00.0	2009	39-24THS-S-C14	Cast Iron	1958	67	2	144.05	2	NULL	1958	1	51
2218	7967	00:00.0	2006	39-24THS-S-B24	Cast Iron	1958	67	4	9.38	4	Cast Iron	1958	1	48
2100	7969	00:00.0	2004	39-24THS-S-B14	Cast Iron	1958	67	6	1049.14	6	Cast Iron	1958	1	46
1982	7997	00:00.0	2001	48-4THS-S-A16	Cast Iron	1907	118	6	758.29	6	Cast Iron	1907	1	94
2791	7997	00:00.0	2019	48-4THS-S-A16	Cast Iron	1907	118	6	758.29	6	Cast Iron	1907	1	112
1977	8048	00:00.0	2001	27-BERW-L-A38	Ductile Iron	1970	55	8	542.07	8	Ductile Iron	1970	1	31
2305	8048	00:00.0	2008	27-BERW-L-A38	Ductile Iron	1970	55	8	542.07	8	Ductile Iron	1970	1	38
2826	8048	00:00.0	2020	27-BERW-L-A38	Ductile Iron	1970	55	8	542.07	8	Ductile Iron	1970	1	50
2923	8048	00:00.0	2022	27-BERW-L-A38	Ductile Iron	1970	55	8	542.07	8	Ductile Iron	1970	1	52
2134	8050	00:00.0	2004	27-BERW-L-A48	Asbestos Cement	1970	55	8	577.37	8	Asbestos Cement	1970	1	34
2135	8050	00:00.0	2004	27-BERW-L-A48	Asbestos Cement	1970	55	8	577.37	8	Asbestos Cement	1970	1	34
2792	8058	00:00.0	2019	27-PEMB-R-A28	Asbestos Cement	1977	48	8	421.47	8	Asbestos Cement	1977	1	42
2307	8061	00:00.0	2008	27-LOND-P-A18	Asbestos Cement	1968	57	8	220.95	8	Asbestos Cement	1968	1	40
2308	8061	00:00.0	2008	27-LOND-P-A18	Asbestos Cement	1968	57	8	220.95	8	Asbestos Cement	1968	1	40
2476	8061	00:00.0	2012	27-LOND-P-A18	Asbestos Cement	1968	57	8	220.95	8	Asbestos Cement	1968	1	44
2124	8064	00:00.0	2004	27-HOWEN-D-A18	Cast Iron	1969	56	8	342.16	8	Cast Iron	1969	1	35
2331	8064	00:00.0	2008	27-HOWEN-D-A18	Cast Iron	1969	56	8	342.16	8	Cast Iron	1969	1	39
2924	8065	00:00.0	2022	27-PEMB-R-A18	Cast Iron	1977	48	8	961.83	8	Cast Iron	1977	1	45
1980	8072	00:00.0	2001	67-LINW-A-B14	Cast Iron	1945	80	6	140.17	6	Cast Iron	1945	1	56
2036	8072	00:00.0	2002	67-LINW-A-B14	Cast Iron	1945	80	6	140.17	6	Cast Iron	1945	1	57
2089	8072	00:00.0	2004	67-LINW-A-B14	Cast Iron	1945	80	6	140.17	6	Cast Iron	1945	1	59
1987	8075	00:00.0	2001	67-LINW-A-A16	Cast Iron	1947	78	6	1087.45	6	Cast Iron	1947	1	54
1991	8075	00:00.0	2001	67-LINW-A-A16	Cast Iron	1947	78	6	1087.45	6	Cast Iron	1947	1	54
2183	8075	00:00.0	2005	67-LINW-A-A16	Cast Iron	1947	78	6	1087.45	6	Cast Iron	1947	1	58
2534	8075	00:00.0	2013	67-LINW-A-A16	Cast Iron	1947	78	6	1087.45	6	Cast Iron	1947	1	66
2930	8075	00:00.0	2022	67-LINW-A-A16	Cast Iron	1947	78	6	1087.45	6	Cast Iron	1947	1	75
2777	8093	00:00.0	2019	67-BELLV-A-A36	Cast Iron	1947	78	6	323.31	6	Cast Iron	1947	1	72
2502	8097	00:00.0	2013	67-JONE-A-A16	Cast Iron	1947	78	6	1001.56	6	Cast Iron	1947	1	66
2862	8097	00:00.0	2021	67-JONE-A-A16	Cast Iron	1947	78	6	1001.56	6	Cast Iron	1947	1	74
2403	8098	00:00.0	2010	67-OBAN-A-C26	Cast Iron	1931	94	6	94.04	6	Cast Iron	1931	1	79
2671	8098	00:00.0	2016	67-OBAN-A-C26	Cast Iron	1931	94	6	94.04	6	Cast Iron	1931	1	85
2527	8099	00:00.0	2013	67-OBAN-A-C36	Cast Iron	1931	94	6	338.06	6	Cast Iron	1931	1	82
2543	8099	00:00.0	2014	67-OBAN-A-C36	Cast Iron	1931	94	6	338.06	6	Cast Iron	1931	1	83
2785	8105	00:00.0	2019	57-OAKW-A-D36	Cast Iron	1931	94	6	333.35	6	Cast Iron	1931	1	88
1957	8112	00:00.0	2001	29-WINT-A-A18	Cast Iron	1935	90	6	581.95	6	Cast Iron	1935	1	66
2227	8112	00:00.0	2006	29-WINT-A-A18	Cast Iron	1935	90	6	581.95	6	Cast Iron	1935	1	71
2773	8112	00:00.0	2019	29-WINT-A-A18	Cast Iron	1935	90	6	581.95	6	Cast Iron	1935	1	84
2871	8112	00:00.0	2021	29-WINT-A-A18	Cast Iron	1935	90	6	581.95	6	Cast Iron	1935	1	86
2478	8115	00:00.0	2012	67-GARF-A-X16	Cast Iron	1947	78	6	51.37	6	Cast Iron	1947	1	65
2704	8115	00:00.0	2017	67-GARF-A-X16	Cast Iron	1947	78	6	51.37	6	Cast Iron	1947	1	70
2368	8127	00:00.0	2009	36-MEAD-D-X26	Cast Iron	1959	66	6	3.43	6	Cast Iron	1959	1	50
2055	8183	00:00.0	2003	57-PLEA-S-A26	Cast Iron	1920	105	6	149.37	6	Cast Iron	1920	1	83
2200	8183	00:00.0	2005	57-PLEA-S-A26	Cast Iron	1920	105	6	149.37	6	Cast Iron	1920	1	85
2332	8183	00:00.0	2008	57-PLEA-S-A26	Cast Iron	1920	105	6	149.37	6	Cast Iron	1920	1	88
1915	8198	00:00.0	2000	47-MANN-S-A46	Cast Iron	1930	95	6	1413.67	6	Cast Iron	1930	1	70
2011	8198	00:00.0	2002	47-MANN-S-A46	Cast Iron	1930	95	6	1413.67	6	Cast Iron	1930	1	72
2166	8198	00:00.0	2005	47-MANN-S-A46	Cast Iron	1930	95	6	1413.67	6	Cast Iron	1930	1	75
2470	8198	00:00.0	2012	47-MANN-S-A46	Cast Iron	1930	95	6	1413.67	6	Cast Iron	1930	1	82
2816	8198	00:00.0	2020	47-MANN-S-A46	Cast Iron	1930	95	6	1413.67	6	Cast Iron	1930	1	90
2849	8198	00:00.0	2020	47-MANN-S-A46	Cast Iron	1930	95	6	1413.67	6	Cast Iron	1930	1	90
2457	8199	00:00.0	2011	47-MANN-S-Z46	Cast Iron	1930	95	6	565.15	6	Cast Iron	NULL	1	81
2126	8203	00:00.0	2004	46-CHER-S-A16	Asbestos Cement	1940	85	6	565.19	6	Asbestos Cement	1940	1	64
2828	8211	00:00.0	2020	48-HARR-S-A58	Cast Iron	1907	118	12	436.88	12	Cast Iron	1907	1	113
2906	8225	00:00.0	2022	28-GRAN-R-A36	Cast Iron	1960	65	6	468.97	6	Cast Iron	1960	1	62
1996	8229	00:00.0	2001	28-GRAN-R-A56	Cast Iron	1960	65	6	604.72	6	Cast Iron	1960	1	41
2215	8258	00:00.0	2006	24-KING-R-B16	Cast Iron	1970	55	6	1013.36	6	Cast Iron	1970	0	36
2044	8262	00:00.0	2003	39-30THS-S-A710	Cast Iron	1928	97	10	4.57	10	Ductile Iron	1928	1	75
2271	8268	00:00.0	2007	39-STEE-A-A26	Cast Iron	1941	84	4	300.87	4	Cast Iron	1941	1	66
2808	8268	00:00.0	2019	39-STEE-A-A26	Cast Iron	1941	84	4	300.87	4	Cast Iron	1941	1	78
2229	8275	00:00.0	2006	39-28THS-S-B16	Cast Iron	1935	90	6	713.77	6	Cast Iron	1935	1	71
2381	8275	00:00.0	2010	39-28ths-s-b16	Cast Iron	1935	90	6	713.77	6	Cast Iron	1935	1	75
2423	8275	00:00.0	2010	39-28THS-S-B16	Cast Iron	1935	90	6	713.77	6	Cast Iron	1935	1	75
2669	8275	00:00.0	2016	39-28THS-S-B16	Cast Iron	1935	90	6	713.77	6	Cast Iron	1935	1	81
2277	8276	00:00.0	2008	39-BUCK-A-A310	Cast Iron	1935	90	10	197.15	10	Cast Iron	1935	1	73
2008	8277	00:00.0	2002	39-29THS-S-B16	Cast Iron	1935	90	6	147.76	6	Cast Iron	1935	1	67
2024	8277	00:00.0	2002	39-29ths-s-b16	Cast Iron	1935	90	6	147.76	6	Cast Iron	1935	1	67
2033	8289	00:00.0	2002	38-CHURW-S-D310	Cast Iron	1929	96	10	944.83	10	Cast Iron	1929	1	73
2249	8289	00:00.0	2007	38-CHURW-S-D310	Cast Iron	1929	96	10	944.83	10	Cast Iron	1929	1	78
2431	8289	00:00.0	2011	38-CHURW-S-D310	Cast Iron	1929	96	10	944.83	10	Cast Iron	1929	1	82
2292	8296	00:00.0	2008	27-GRAN-R-B36	Cast Iron	1960	65	6	516.34	6	Cast Iron	1960	1	48
2630	8296	00:00.0	2015	27-GRAN-R-B36	Cast Iron	1960	65	6	516.34	6	Cast Iron	1960	1	55
2632	8296	00:00.0	2016	27-GRAN-R-B36	Cast Iron	1960	65	6	516.34	6	Cast Iron	1960	1	56
