ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	InstallDate	BreakYear	BreakDate	Failure_ID	BreakAge
59990	6	CI	1927	CI	NULL	6	1	NULL	NULL	NULL	NULL	NULL
59991	6	CI	1927	CI	NULL	6	1	NULL	NULL	NULL	NULL	NULL
59992	6	CI	1927	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
59993	6	CI	1927	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
59994	8	CI	1927	CI	NULL	8	1	NULL	NULL	NULL	NULL	NULL
59995	6	DI	1971	DI	1971	6	0	1971-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
59996	6	DI	1971	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
59997	6	DI	1971	DI	1971	6	0	1971-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
59998	8	DI	1971	DI	1971	8	0	1971-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
59999	8	DI	1971	DI	1971	8	0	1971-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
60000	6	DI	1989	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60001	6	DI	1989	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60002	6	DI	1989	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60003	6	DI	1989	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60004	6	DI	1989	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60005	6	DI	1989	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60006	6	DI	1989	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60007	6	DI	1989	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60008	6	DI	1989	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60009	6	DI	1989	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60010	6	DI	1989	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60016	6	CI	1905	CI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60017	8	CI	1905	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60018	8	CI	1905	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60019	8	DI	1972	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60020	6	DI	1972	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60021	8	DI	1972	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60022	8	DI	1972	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60023	6	DI	1972	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60024	8	DI	1972	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60025	3	CI	1954	CI	NULL	3	0	NULL	NULL	NULL	NULL	NULL
60026	8	DI	1972	CI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60027	8	CI	1954	CI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60028	8	DI	1972	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60029	8	DI	1972	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60030	6	DI	1972	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60031	6	DI	1972	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60032	8	DI	1972	DI	NULL	8	0	NULL	NULL	NULL	NULL	NULL
60033	6	DI	1991	DI	1991	6	0	1991-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
60034	6	DI	1991	DI	1991	6	0	1991-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
60035	4	CI	1955	CI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60036	6	CI	1955	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60037	4	CI	1955	CI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60038	4	CI	1955	CI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60039	4	CI	1955	CI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60040	4	CI	1955	CI	NULL	4	0	NULL	NULL	NULL	NULL	NULL
60041	10	DI	1971	DI	1971	10	0	1971-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
60042	6	DI	1971	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL
60043	10	DI	1971	DI	1971	10	0	1971-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL
