ID	Diameter	Material	InstallYear	OrgMaterial	OrgDiameter	Status	INSTALL_DATE	BreakYear	BreakDate	Failure_ID	BreakAge
67424	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67425	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67426	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67427	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67428	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67429	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67430	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67431	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67432	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67433	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67434	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67435	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67436	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67437	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67438	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67439	6	UNK	1900	NULL	6	1	NULL	NULL	NULL	NULL	NULL
67466	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67467	6	CI	1911	CI	6	1	1911	NULL	NULL	NULL	NULL
67468	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67469	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67470	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67472	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67473	2	DI	1970	PVC	2	1	1970	NULL	NULL	NULL	NULL
67474	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67475	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67476	2	DI	1970	PVC	2	1	1970	NULL	NULL	NULL	NULL
67477	10	DI	2019	DI	10	1	2019	NULL	NULL	NULL	NULL
67489	6	UNK	1900	NULL	6	1	NULL	NULL	NULL	NULL	NULL
67494	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67495	8	DI	2016	DI	8	1	2016	NULL	NULL	NULL	NULL
67496	6	CI	1955	CI	6	1	1955	NULL	NULL	NULL	NULL
67497	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67498	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67499	6	UNK	1900	NULL	6	1	NULL	NULL	NULL	NULL	NULL
67500	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67501	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67502	6	DI	1983	DI	6	1	1983	NULL	NULL	NULL	NULL
67503	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67504	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67505	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67506	8	DI	2019	DI	8	1	2019	NULL	NULL	NULL	NULL
67507	8	DI	2016	DI	8	1	2016	NULL	NULL	NULL	NULL
67508	6	DI	1965	DI	6	1	NULL	NULL	NULL	NULL	NULL
67509	8	DI	2017	DI	8	1	2017	NULL	NULL	NULL	NULL
67527	6	UNK	1900	NULL	6	1	NULL	NULL	NULL	NULL	NULL
67558	6	UNK	1900	NULL	6	1	NULL	NULL	NULL	NULL	NULL
67568	6	UNK	1900	NULL	6	1	NULL	NULL	NULL	NULL	NULL
67583	8	DI	2017	DI	8	1	2017	NULL	NULL	NULL	NULL
67584	6	DI	1987	DI	6	1	1987	NULL	NULL	NULL	NULL
67594	6	UNK	1900	NULL	6	1	NULL	NULL	NULL	NULL	NULL
67614	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67615	10	DI	2019	DI	10	1	2019	NULL	NULL	NULL	NULL
67616	10	DI	2019	DI	10	1	2019	NULL	NULL	NULL	NULL
67617	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67618	10	DI	2002	DI	10	1	2002	NULL	NULL	NULL	NULL
67621	10	DI	2019	DI	10	1	2019	NULL	NULL	NULL	NULL
67622	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67623	10	DI	2019	DI	10	1	2019	NULL	NULL	NULL	NULL
67624	10	DI	2019	DI	10	1	2019	NULL	NULL	NULL	NULL
67625	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67626	10	DI	1990	DI	10	1	1990	NULL	NULL	NULL	NULL
67627	6	DI	1990	DI	6	1	1990	NULL	NULL	NULL	NULL
67628	10	DI	1990	DI	10	1	1990	NULL	NULL	NULL	NULL
67629	6	DI	1990	DI	6	1	1990	NULL	NULL	NULL	NULL
67630	10	DI	2019	DI	10	1	2019	NULL	NULL	NULL	NULL
67631	10	DI	1990	DI	10	1	1990	NULL	NULL	NULL	NULL
67632	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67633	10	DI	2019	DI	10	1	2019	NULL	NULL	NULL	NULL
67634	10	DI	2019	DI	10	1	2019	NULL	NULL	NULL	NULL
67635	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67636	10	DI	2019	DI	10	1	2019	NULL	NULL	NULL	NULL
67637	10	DI	2019	DI	10	1	2019	NULL	NULL	NULL	NULL
67638	10	DI	2019	DI	10	1	2019	NULL	NULL	NULL	NULL
67639	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67640	10	DI	2019	DI	10	1	2019	NULL	NULL	NULL	NULL
67641	6	DI	2019	DI	6	1	2019	NULL	NULL	NULL	NULL
67642	10	DI	2019	DI	10	1	2019	NULL	NULL	NULL	NULL
67643	10	DI	1990	DI	10	1	1990	NULL	NULL	NULL	NULL
67645	6	UNK	1900	NULL	6	1	NULL	NULL	NULL	NULL	NULL
67646	8	DI	2017	DI	8	1	2017	NULL	NULL	NULL	NULL
67647	8	DI	2017	DI	8	1	2017	NULL	NULL	NULL	NULL
67648	6	DI	2014	DI	6	1	2014	NULL	NULL	NULL	NULL
67649	8	DI	2014	DI	8	1	2014	NULL	NULL	NULL	NULL
67650	12	DI	2014	DI	12	1	2014	NULL	NULL	NULL	NULL
67651	6	DI	2014	DI	6	1	2014	NULL	NULL	NULL	NULL
67652	12	DI	2014	DI	12	1	2014	NULL	NULL	NULL	NULL
67653	12	DI	2014	DI	12	1	2014	NULL	NULL	NULL	NULL
67654	12	DI	1987	DI	12	1	1987	NULL	NULL	NULL	NULL
67657	7	UNK	1900	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
67674	6	UNK	1900	NULL	6	1	NULL	NULL	NULL	NULL	NULL
67675	6	UNK	1900	NULL	6	1	NULL	NULL	NULL	NULL	NULL
67676	6	UNK	1900	NULL	6	1	NULL	NULL	NULL	NULL	NULL
67678	6	UNK	1900	NULL	6	1	NULL	NULL	NULL	NULL	NULL
67700	8	DI	2002	DI	8	1	2002	NULL	NULL	NULL	NULL
67701	8	DI	2002	DI	8	1	2002	NULL	NULL	NULL	NULL
67705	8	DI	1965	DI	8	1	NULL	NULL	NULL	NULL	NULL
67708	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67710	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67711	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67713	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67715	6	DI	1965	DI	6	1	NULL	NULL	NULL	NULL	NULL
67717	6	DI	1965	DI	6	1	NULL	NULL	NULL	NULL	NULL
67718	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67720	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67722	12	DI	2022	DI	12	1	2022	NULL	NULL	NULL	NULL
67723	6	DI	1965	DI	6	1	NULL	NULL	NULL	NULL	NULL
67724	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67725	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
67726	8	DI	2022	DI	8	1	2022	NULL	NULL	NULL	NULL
