ID	Diameter	Material	InstallYear	OrgMaterial	OrgInstallYear	OrgDiameter	Status	InstallDate	BreakYear	BreakDate	Description	Failure_ID	BreakAge
35860	2	ST	1996	ST	1996	2	0	1996-01-01 00:00:00.0000000	2012	2012-07-06 10:51:00.000	Water Main Repair	73	16
35878	8	CI	1923	CI	1923	8	1	1923-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35881	6	DI	1984	DI	1984	6	1	1984-06-25 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35882	6	CI	1935	CI	1935	6	1	1935-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
35884	6	CI	1935	CI	1935	6	1	1935-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
39287	12	PVC	1989	PVC	1989	12	1	1989-07-05 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
39288	12	PVC	2007	PVC	2007	12	1	2007-10-24 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
39292	12	PVC	2007	PVC	2007	12	1	2007-10-24 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
39296	12	CI	1930	CI	1930	12	1	1930-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
39315	6	PVC	2010	PVC	2010	6	1	2010-09-24 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
39323	12	CI	1956	CI	1956	12	1	1956-01-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
39330	8	PVC	2010	PVC	2010	8	1	2010-09-24 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
39348	2	ST	1934	ST	NULL	2	0	NULL	NULL	NULL	NULL	NULL	NULL
39356	6	DI	2010	DI	2010	6	0	2010-07-06 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
39361	12	PVC	2010	PVC	2010	12	1	2010-07-06 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
39365	8	PVC	2010	PVC	2010	8	0	2010-07-06 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
39366	6	DI	2010	DI	2010	6	0	2010-07-06 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
39375	6	DI	2009	DI	2009	6	0	2009-08-10 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
39379	2	GAL	2006	GAL	2006	2	0	2006-09-25 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
39385	6	DI	1965	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL	NULL
39387	2	GAL	1990	GAL	1990	2	0	1990-06-21 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
39395	6	DI	1965	DI	NULL	6	0	NULL	NULL	NULL	NULL	NULL	NULL
43640	12	PVC	2021	PVC	2021	12	1	2021-03-07 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43648	8	PVC	2021	PVC	2021	8	1	2021-03-07 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43651	6	DI	2021	DI	2021	6	0	2021-03-07 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43653	12	PVC	2021	PVC	2021	12	1	2021-03-07 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43654	12	CI	1915	CI	1915	12	1	1915-06-01 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43660	12	DI	2021	DI	2021	12	1	2021-03-07 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
43666	2	PE	2021	PE	2021	2	0	2021-03-07 00:00:00.0000000	NULL	NULL	NULL	NULL	NULL
